"DateTime","(deg F) Mean Temperature (CFSR) at Montana, 2010-01-01 to 2019-03-14"
"2011-11-14:12 AM",30.5004
"2011-11-15:12 AM",22.5846
"2011-11-16:12 AM",17.6391
"2011-11-17:12 AM",27.0741
"2011-11-18:12 AM",19.7668
"2011-11-19:12 AM",7.8031
"2011-11-20:12 AM",13.9383
"2011-11-21:12 AM",23.0389
"2011-11-22:12 AM",31.0597
"2011-11-23:12 AM",37.5604
"2011-11-24:12 AM",37.0065
"2011-11-25:12 AM",32.0698
"2011-11-26:12 AM",25.3571
"2011-11-27:12 AM",33.8151
"2011-11-28:12 AM",35.8979
"2011-11-29:12 AM",32.5357
"2011-11-30:12 AM",32.5999
"2011-12-01:12 AM",21.6795
"2011-12-02:12 AM",25.7616
"2011-12-03:12 AM",20.0597
"2011-12-04:12 AM",17.9236
"2011-12-05:12 AM",9.3583
"2011-12-06:12 AM",20.0397
"2011-12-07:12 AM",23.7339
"2011-12-08:12 AM",15.6846
"2011-12-09:12 AM",17.4362
"2011-12-10:12 AM",25.9333
"2011-12-11:12 AM",24.193
"2011-12-12:12 AM",20.8602
"2011-12-13:12 AM",18.6514
"2011-12-14:12 AM",20.3023
"2011-12-15:12 AM",20.5905
"2011-12-16:12 AM",23.1679
"2011-12-17:12 AM",29.2455
"2011-12-18:12 AM",31.2899
"2011-12-19:12 AM",24.8344
"2011-12-20:12 AM",27.6867
"2011-12-21:12 AM",25.421
"2011-12-22:12 AM",17.7949
"2011-12-23:12 AM",21.8665
"2011-12-24:12 AM",26.7523
"2011-12-25:12 AM",29.5387
"2011-12-26:12 AM",27.8008
"2011-12-27:12 AM",27.6795
"2011-12-28:12 AM",34.8267
"2011-12-29:12 AM",35.53
"2011-12-30:12 AM",33.267
"2011-12-31:12 AM",28.1449
"2012-01-01:12 AM",21.3096
"2012-01-02:12 AM",27.891
"2012-01-03:12 AM",34.0851
"2012-01-04:12 AM",36.3319
"2012-01-05:12 AM",38.6283
"2012-01-06:12 AM",28.7307
"2012-01-07:12 AM",24.0008
"2012-01-08:12 AM",26.6994
"2012-01-09:12 AM",33.2496
"2012-01-10:12 AM",32.225
