"DateTime","(deg F) Mean Temperature (CFSR) at Colorado, 2010-01-01 to 2019-03-14"
"2011-05-31:12 AM",52.164
"2011-06-01:12 AM",61.2241
"2011-06-02:12 AM",64.6543
"2011-06-03:12 AM",59.7126
"2011-06-04:12 AM",60.4465
"2011-06-05:12 AM",64.4808
"2011-06-06:12 AM",67.213
"2011-06-07:12 AM",63.7587
"2011-06-08:12 AM",60.6357
"2011-06-09:12 AM",57.4777
"2011-06-10:12 AM",55.5831
"2011-06-11:12 AM",60.1286
"2011-06-12:12 AM",61.815
"2011-06-13:12 AM",63.4579
"2011-06-14:12 AM",61.4457
"2011-06-15:12 AM",62.4871
"2011-06-16:12 AM",66.8379
"2011-06-17:12 AM",60.2388
"2011-06-18:12 AM",60.0082
"2011-06-19:12 AM",60.4387
"2011-06-20:12 AM",52.1008
"2011-06-21:12 AM",56.6742
"2011-06-22:12 AM",62.0539
"2011-06-23:12 AM",66.2362
"2011-06-24:12 AM",68.3935
"2011-06-25:12 AM",68.3415
"2011-06-26:12 AM",69.2038
"2011-06-27:12 AM",64.6077
"2011-06-28:12 AM",69.0028
"2011-06-29:12 AM",73.8356
"2011-06-30:12 AM",69.4807
"2011-07-01:12 AM",66.4815
"2011-07-02:12 AM",68.4423
"2011-07-03:12 AM",70.3933
"2011-07-04:12 AM",71.5811
"2011-07-05:12 AM",69.0184
"2011-07-06:12 AM",68.0796
"2011-07-07:12 AM",66.4063
"2011-07-08:12 AM",67.8736
"2011-07-09:12 AM",68.3281
"2011-07-10:12 AM",67.7782
"2011-07-11:12 AM",67.0525
"2011-07-12:12 AM",65.3749
"2011-07-13:12 AM",66.2891
"2011-07-14:12 AM",67.3122
"2011-07-15:12 AM",68.5418
"2011-07-16:12 AM",70.8552
"2011-07-17:12 AM",72.5769
"2011-07-18:12 AM",71.9352
"2011-07-19:12 AM",72.7761
"2011-07-20:12 AM",70.6948
"2011-07-21:12 AM",68.7146
"2011-07-22:12 AM",70.0349
"2011-07-23:12 AM",71.5219
"2011-07-24:12 AM",71.728
"2011-07-25:12 AM",70.7812
"2011-07-26:12 AM",69.5775
"2011-07-27:12 AM",68.0313
"2011-07-28:12 AM",67.8218
"2011-07-29:12 AM",67.9181
"2011-07-30:12 AM",69.5053
"2011-07-31:12 AM",71.0947
"2011-08-01:12 AM",70.7535
"2011-08-02:12 AM",66.1341
"2011-08-03:12 AM",65.8816
"2011-08-04:12 AM",66.0393
"2011-08-05:12 AM",66.7715
"2011-08-06:12 AM",68.9767
"2011-08-07:12 AM",69.8479
"2011-08-08:12 AM",68.905
"2011-08-09:12 AM",67.9624
"2011-08-10:12 AM",66.2972
"2011-08-11:12 AM",67.6287
"2011-08-12:12 AM",68.5053
"2011-08-13:12 AM",67.7761
"2011-08-14:12 AM",66.866
"2011-08-15:12 AM",67.8004
"2011-08-16:12 AM",68.8127
"2011-08-17:12 AM",69.1545
"2011-08-18:12 AM",71.6428
