"DateTime","(deg F) Mean Temperature (CFSR) at Arizona, 2010-01-01 to 2019-03-14"
"2011-10-26:12 AM",71.0665
"2011-10-27:12 AM",64.4985
"2011-10-28:12 AM",70.3008
"2011-10-29:12 AM",74.4535
"2011-10-30:12 AM",76.3036
"2011-10-31:12 AM",77.0245
"2011-11-01:12 AM",74.6481
"2011-11-02:12 AM",66.9043
"2011-11-03:12 AM",68.6037
"2011-11-04:12 AM",66.7236
"2011-11-05:12 AM",59.6811
"2011-11-06:12 AM",52.1067
"2011-11-07:12 AM",48.1645
"2011-11-08:12 AM",52.2505
"2011-11-09:12 AM",56.3328
"2011-11-10:12 AM",59.5373
"2011-11-11:12 AM",60.5545
"2011-11-12:12 AM",61.6671
"2011-11-13:12 AM",56.6739
"2011-11-14:12 AM",58.734
"2011-11-15:12 AM",59.3253
"2011-11-16:12 AM",60.9195
"2011-11-17:12 AM",63.9392
"2011-11-18:12 AM",62.2456
"2011-11-19:12 AM",59.4176
"2011-11-20:12 AM",57.9301
"2011-11-21:12 AM",54.1729
"2011-11-22:12 AM",60.2245
"2011-11-23:12 AM",65.8499
"2011-11-24:12 AM",62.5231
"2011-11-25:12 AM",57.9906
"2011-11-26:12 AM",58.7847
"2011-11-27:12 AM",61.8332
"2011-11-28:12 AM",65.9593
"2011-11-29:12 AM",66.3476
"2011-11-30:12 AM",65.3158
"2011-12-01:12 AM",55.665
"2011-12-02:12 AM",46.5881
"2011-12-03:12 AM",42.6245
"2011-12-04:12 AM",40.8553
"2011-12-05:12 AM",37.7976
"2011-12-06:12 AM",40.6504
"2011-12-07:12 AM",47.2217
"2011-12-08:12 AM",51.0499
"2011-12-09:12 AM",52.1469
"2011-12-10:12 AM",54.8892
"2011-12-11:12 AM",54.0603
"2011-12-12:12 AM",46.558
"2011-12-13:12 AM",45.1148
"2011-12-14:12 AM",44.3237
"2011-12-15:12 AM",46.647
"2011-12-16:12 AM",49.2807
"2011-12-17:12 AM",53.1604
"2011-12-18:12 AM",48.888
"2011-12-19:12 AM",45.0264
"2011-12-20:12 AM",46.8268
"2011-12-21:12 AM",48.4398
