"DateTime","(deg F) Mean Temperature (CFSR) at Michigan, 2010-01-01 to 2019-03-14"
"2011-09-14:12 AM",52.2772
"2011-09-15:12 AM",47.102
"2011-09-16:12 AM",48.1194
"2011-09-17:12 AM",53.2972
"2011-09-18:12 AM",57.6019
"2011-09-19:12 AM",58.4175
"2011-09-20:12 AM",57.891
"2011-09-21:12 AM",60.8675
"2011-09-22:12 AM",54.1422
"2011-09-23:12 AM",52.4422
"2011-09-24:12 AM",53.8646
"2011-09-25:12 AM",57.5724
"2011-09-26:12 AM",59.815
"2011-09-27:12 AM",57.3436
"2011-09-28:12 AM",56.5383
"2011-09-29:12 AM",54.4413
"2011-09-30:12 AM",46.5381
"2011-10-01:12 AM",44.1129
"2011-10-02:12 AM",48.2936
"2011-10-03:12 AM",52.3827
"2011-10-04:12 AM",54.6926
"2011-10-05:12 AM",57.4122
"2011-10-06:12 AM",58.9249
"2011-10-07:12 AM",63.0023
"2011-10-08:12 AM",65.0109
"2011-10-09:12 AM",62.5401
"2011-10-10:12 AM",60.5273
"2011-10-11:12 AM",61.569
"2011-10-12:12 AM",60.265
"2011-10-13:12 AM",57.0945
"2011-10-14:12 AM",51.903
"2011-10-15:12 AM",46.5976
"2011-10-16:12 AM",48.5785
"2011-10-17:12 AM",46.9121
"2011-10-18:12 AM",45.4503
"2011-10-19:12 AM",43.9455
"2011-10-20:12 AM",42.1957
"2011-10-21:12 AM",42.2969
"2011-10-22:12 AM",44.6164
"2011-10-23:12 AM",47.37
"2011-10-24:12 AM",47.6532
"2011-10-25:12 AM",44.8234
"2011-10-26:12 AM",43.8057
"2011-10-27:12 AM",40.6557
"2011-10-28:12 AM",39.9632
"2011-10-29:12 AM",40.8308
"2011-10-30:12 AM",41.5497
"2011-10-31:12 AM",44.4231
"2011-11-01:12 AM",45.2525
"2011-11-02:12 AM",48.4642
"2011-11-03:12 AM",43.1555
"2011-11-04:12 AM",40.6029
"2011-11-05:12 AM",42.1333
"2011-11-06:12 AM",47.7036
"2011-11-07:12 AM",48.8752
"2011-11-08:12 AM",44.5649
"2011-11-09:12 AM",44.1014
"2011-11-10:12 AM",37.4493
"2011-11-11:12 AM",35.9341
"2011-11-12:12 AM",42.2814
"2011-11-13:12 AM",49.3426
"2011-11-14:12 AM",45.3492
"2011-11-15:12 AM",44.0064
"2011-11-16:12 AM",37.6986
"2011-11-17:12 AM",31.6222
"2011-11-18:12 AM",34.9545
"2011-11-19:12 AM",40.5711
"2011-11-20:12 AM",35.5203
"2011-11-21:12 AM",31.8765
"2011-11-22:12 AM",34.3524
"2011-11-23:12 AM",37.1624
"2011-11-24:12 AM",40.296
"2011-11-25:12 AM",44.7658
"2011-11-26:12 AM",47.2746
"2011-11-27:12 AM",39.8592
"2011-11-28:12 AM",34.2455
"2011-11-29:12 AM",34.2064
"2011-11-30:12 AM",33.1162
"2011-12-01:12 AM",33.262
"2011-12-02:12 AM",30.0967
"2011-12-03:12 AM",36.1445
"2011-12-04:12 AM",39.5946
"2011-12-05:12 AM",31.8895
"2011-12-06:12 AM",27.491
"2011-12-07:12 AM",28.4981
"2011-12-08:12 AM",28.4877
"2011-12-09:12 AM",23.8357
"2011-12-10:12 AM",21.843
"2011-12-11:12 AM",30.3085
"2011-12-12:12 AM",34.1715
"2011-12-13:12 AM",35.4195
"2011-12-14:12 AM",37.6149
"2011-12-15:12 AM",40.0816
"2011-12-16:12 AM",27.745
"2011-12-17:12 AM",26.0901
"2011-12-18:12 AM",31.2708
"2011-12-19:12 AM",34.7724
"2011-12-20:12 AM",30.117
"2011-12-21:12 AM",33.2883
"2011-12-22:12 AM",31.9213
"2011-12-23:12 AM",26.4645
"2011-12-24:12 AM",30.0425
"2011-12-25:12 AM",33.8972
"2011-12-26:12 AM",34.2606
"2011-12-27:12 AM",31.3714
"2011-12-28:12 AM",19.6115
"2011-12-29:12 AM",28.9341
"2011-12-30:12 AM",32.3557
"2011-12-31:12 AM",31.8092
