"DateTime","(deg F) Mean Temperature (CFSR) at District of Columbia, 2010-01-01 to 2019-03-14"
"2011-08-03:12 AM",81.4757
"2011-08-04:12 AM",79.9876
"2011-08-05:12 AM",77.5337
"2011-08-06:12 AM",81.5877
"2011-08-07:12 AM",82.8788
"2011-08-08:12 AM",82.1251
"2011-08-09:12 AM",82.602
"2011-08-10:12 AM",80.3341
"2011-08-11:12 AM",74.9048
"2011-08-12:12 AM",74.0282
"2011-08-13:12 AM",76.6333
"2011-08-14:12 AM",74.4314
"2011-08-15:12 AM",71.8165
"2011-08-16:12 AM",71.294
"2011-08-17:12 AM",77.3996
"2011-08-18:12 AM",80.5172
"2011-08-19:12 AM",75.8953
"2011-08-20:12 AM",75.4102
"2011-08-21:12 AM",80.7111
"2011-08-22:12 AM",73.4891
"2011-08-23:12 AM",69.7374
"2011-08-24:12 AM",74.2546
"2011-08-25:12 AM",76.0131
"2011-08-26:12 AM",76.4915
"2011-08-27:12 AM",72.437
"2011-08-28:12 AM",71.4844
"2011-08-29:12 AM",66.3629
"2011-08-30:12 AM",65.9291
"2011-08-31:12 AM",66.9821
"2011-09-01:12 AM",70.6546
"2011-09-02:12 AM",69.5669
"2011-09-03:12 AM",72.9077
"2011-09-04:12 AM",77.6043
"2011-09-05:12 AM",75.9376
"2011-09-06:12 AM",63.7614
"2011-09-07:12 AM",70.0867
"2011-09-08:12 AM",71.3543
"2011-09-09:12 AM",71.0163
"2011-09-10:12 AM",69.4063
"2011-09-11:12 AM",72.1229
"2011-09-12:12 AM",70.1812
"2011-09-13:12 AM",71.1356
"2011-09-14:12 AM",73.2605
"2011-09-15:12 AM",67.478
"2011-09-16:12 AM",53.3062
"2011-09-17:12 AM",55.6097
"2011-09-18:12 AM",54.7282
"2011-09-19:12 AM",59.5049
"2011-09-20:12 AM",66.29
"2011-09-21:12 AM",67.3344
"2011-09-22:12 AM",71.7395
"2011-09-23:12 AM",69.9777
"2011-09-24:12 AM",68.8303
"2011-09-25:12 AM",69.5908
"2011-09-26:12 AM",71.1154
"2011-09-27:12 AM",72.1328
"2011-09-28:12 AM",72.1121
"2011-09-29:12 AM",67.8785
"2011-09-30:12 AM",64.3546
"2011-10-01:12 AM",51.0863
"2011-10-02:12 AM",45.6534
"2011-10-03:12 AM",46.1259
"2011-10-04:12 AM",55.1331
"2011-10-05:12 AM",59.9027
"2011-10-06:12 AM",55.3874
"2011-10-07:12 AM",54.8235
"2011-10-08:12 AM",55.3559
"2011-10-09:12 AM",58.9244
"2011-10-10:12 AM",64.2618
"2011-10-11:12 AM",63.5585
"2011-10-12:12 AM",64.4967
"2011-10-13:12 AM",66.929
"2011-10-14:12 AM",62.1113
"2011-10-15:12 AM",57.5272
"2011-10-16:12 AM",57.8052
"2011-10-17:12 AM",61.088
"2011-10-18:12 AM",60.4351
"2011-10-19:12 AM",65.1911
"2011-10-20:12 AM",55.5823
"2011-10-21:12 AM",49.7381
"2011-10-22:12 AM",48.4993
"2011-10-23:12 AM",52.8049
"2011-10-24:12 AM",54.4329
"2011-10-25:12 AM",53.0024
"2011-10-26:12 AM",56.4525
"2011-10-27:12 AM",55.9738
"2011-10-28:12 AM",42.7402
"2011-10-29:12 AM",35.4587
"2011-10-30:12 AM",37.324
"2011-10-31:12 AM",41.0855
"2011-11-01:12 AM",46.4059
"2011-11-02:12 AM",46.3726
"2011-11-03:12 AM",48.0043
"2011-11-04:12 AM",46.9904
"2011-11-05:12 AM",39.9223
"2011-11-06:12 AM",40.8695
"2011-11-07:12 AM",47.5142
"2011-11-08:12 AM",47.9448
"2011-11-09:12 AM",48.9479
"2011-11-10:12 AM",50.486
"2011-11-11:12 AM",40.0591
"2011-11-12:12 AM",43.3918
"2011-11-13:12 AM",49.3426
"2011-11-14:12 AM",59.2075
"2011-11-15:12 AM",62.6716
"2011-11-16:12 AM",56.6145
"2011-11-17:12 AM",42.9098
"2011-11-18:12 AM",34.3791
"2011-11-19:12 AM",39.4785
