"DateTime","(deg F) Mean Temperature (CFSR) at New Mexico, 2010-01-01 to 2019-03-14"
"2011-11-01:12 AM",53.4261
"2011-11-02:12 AM",45.4332
"2011-11-03:12 AM",37.9823
"2011-11-04:12 AM",45.6573
"2011-11-05:12 AM",45.2759
"2011-11-06:12 AM",38.356
"2011-11-07:12 AM",41.0783
"2011-11-08:12 AM",36.4948
"2011-11-09:12 AM",34.5922
"2011-11-10:12 AM",35.4391
"2011-11-11:12 AM",40.7707
"2011-11-12:12 AM",46.9794
"2011-11-13:12 AM",48.472
"2011-11-14:12 AM",46.5134
"2011-11-15:12 AM",43.6568
"2011-11-16:12 AM",41.7306
"2011-11-17:12 AM",38.8674
"2011-11-18:12 AM",43.4793
"2011-11-19:12 AM",46.8869
"2011-11-20:12 AM",46.7739
"2011-11-21:12 AM",45.3166
"2011-11-22:12 AM",42.283
"2011-11-23:12 AM",43.1359
"2011-11-24:12 AM",45.7117
"2011-11-25:12 AM",46.501
"2011-11-26:12 AM",37.2668
"2011-11-27:12 AM",34.1143
"2011-11-28:12 AM",41.049
"2011-11-29:12 AM",41.5593
"2011-11-30:12 AM",40.6326
"2011-12-01:12 AM",39.7409
"2011-12-02:12 AM",31.2319
"2011-12-03:12 AM",30.8878
"2011-12-04:12 AM",26.3356
"2011-12-05:12 AM",20.8166
"2011-12-06:12 AM",12.5312
"2011-12-07:12 AM",20.8879
"2011-12-08:12 AM",24.901
"2011-12-09:12 AM",25.7779
"2011-12-10:12 AM",27.7171
"2011-12-11:12 AM",28.9026
"2011-12-12:12 AM",34.6181
"2011-12-13:12 AM",38.1479
"2011-12-14:12 AM",36.4845
"2011-12-15:12 AM",31.0604
"2011-12-16:12 AM",28.3975
"2011-12-17:12 AM",32.1028
"2011-12-18:12 AM",36.0252
"2011-12-19:12 AM",34.7763
"2011-12-20:12 AM",30.1559
"2011-12-21:12 AM",31.5565
"2011-12-22:12 AM",30.0229
"2011-12-23:12 AM",22.8502
"2011-12-24:12 AM",23.4451
"2011-12-25:12 AM",23.3481
"2011-12-26:12 AM",26.1864
"2011-12-27:12 AM",29.3097
"2011-12-28:12 AM",32.1125
"2011-12-29:12 AM",37.0474
"2011-12-30:12 AM",39.7202
"2011-12-31:12 AM",41.1201
"2012-01-01:12 AM",35.2087
"2012-01-02:12 AM",33.7039
"2012-01-03:12 AM",37.4452
"2012-01-04:12 AM",38.3646
"2012-01-05:12 AM",38.0242
"2012-01-06:12 AM",39.7765
"2012-01-07:12 AM",37.4565
"2012-01-08:12 AM",34.6408
"2012-01-09:12 AM",31.3266
