DateTime,Temp
1982-02-07,20.9109
1982-02-08,18.9739
1982-02-09,16.3546
1982-02-10,21.3109
1982-02-11,24.8621
1982-02-12,27.8746
1982-02-13,32.1766
1982-02-14,38.8785
1982-02-15,40.6983
1982-02-16,42.1803
1982-02-17,41.6912
1982-02-18,39.0889
1982-02-19,42.0318
1982-02-20,45.3463
1982-02-21,46.3438
1982-02-22,42.8427
1982-02-23,38.205999999999996
1982-02-24,34.1415
1982-02-25,31.7748
1982-02-26,34.1992
1982-02-27,36.7036
1982-02-28,39.3863
1982-03-01,41.5324
1982-03-02,39.3057
1982-03-03,35.3415
1982-03-04,32.385
1982-03-05,29.1398
1982-03-06,30.2178
1982-03-07,33.8297
1982-03-08,37.1059
1982-03-09,41.7123
1982-03-10,45.3263
1982-03-11,44.6779
1982-03-12,42.5217
1982-03-13,41.9182
1982-03-14,42.5543
1982-03-15,41.2921
1982-03-16,39.3557
1982-03-17,39.6491
1982-03-18,39.8469
1982-03-19,36.8407
1982-03-20,33.9624
1982-03-21,33.9388
1982-03-22,35.9782
1982-03-23,39.6565
1982-03-24,40.3335
1982-03-25,39.4594
1982-03-26,39.7906
1982-03-27,40.5702
1982-03-28,41.2939
1982-03-29,39.626999999999995
1982-03-30,38.4919
1982-03-31,40.7505
1982-04-01,42.7554
1982-04-02,39.1843
1982-04-03,38.5556
1982-04-04,39.0646
1982-04-05,37.6331
1982-04-06,37.324
1982-04-07,37.4889
1982-04-08,36.4514
1982-04-09,39.2502
1982-04-10,41.9491
1982-04-11,49.6085
1982-04-12,52.1177
1982-04-13,51.042
1982-04-14,50.7661
1982-04-15,47.4015
1982-04-16,43.7709
1982-04-17,44.5374
1982-04-18,46.1674
1982-04-19,42.9098
1982-04-20,39.9825
1982-04-21,41.8012
1982-04-22,46.9828
1982-04-23,50.92
1982-04-24,52.0257
1982-04-25,51.0681
1982-04-26,50.5299
1982-04-27,52.0488
1982-04-28,53.2908
1982-04-29,51.0462
1982-04-30,52.3688
1982-05-01,56.1605
1982-05-02,58.2816
1982-05-03,58.1576
1982-05-04,54.0484
1982-05-05,48.9018
1982-05-06,49.0613
1982-05-07,51.7978
1982-05-08,52.5511
1982-05-09,50.8959
1982-05-10,49.6659
1982-05-11,49.0771
1982-05-12,50.1046
1982-05-13,52.0527
1982-05-14,53.7226
1982-05-15,55.023999999999994
1982-05-16,56.1474
1982-05-17,57.0508
1982-05-18,57.2808
1982-05-19,57.3993
1982-05-20,57.4891
1982-05-21,59.4313
1982-05-22,60.3396
1982-05-23,60.4816
1982-05-24,60.5613
1982-05-25,61.5614
1982-05-26,61.2502
1982-05-27,58.7295
1982-05-28,56.1949
1982-05-29,55.56
1982-05-30,55.5118
1982-05-31,56.5201
1982-06-01,56.8837
